序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
69,海坝,巧家海坝风电场,49.5,云南省,昭通市,巧家县,云南省昭通市巧家县崇溪镇（海拔2850-3200米山脊）,海坝风电场,https://www.zbytb.com/s-zb-52060886.html,49.5MW,https://www.zbytb.com/s-zb-52060886.html,高,地理编码成功,云南省昭通市巧家县崇溪镇（海拔2850-3200米山脊）,103.15435,26.915678,success: detail_address
70,猴子山,个旧猴子山风电场,200,云南省,红河州,个旧市,云南省红河州个旧市老厂镇和卡房镇之间山脊,猴子山风电场,https://wind.imarine.cn/news/32552.html,200MW,https://wind.imarine.cn/news/32552.html,高,地理编码成功,云南省红河州个旧市老厂镇和卡房镇之间山脊,103.16752,23.1467,success: detail_address
71,大龙山,文山大龙山风电场/华宁大龙山风电场,24.3/56.25,云南省,文山州/玉溪市,丘北县/华宁县,云南省文山州丘北县腻脚乡大龙山（文山大龙山）/云南省玉溪市华宁县青龙镇东北部（华宁大龙山）,大龙山风电场,https://newenergy.in-en.com/html/newenergy-2451276.shtml,24.3MW（丘北）+56.25MW（华宁）,,高,地理编码成功,云南省文山州丘北县腻脚乡大龙山（文山大龙山）/云南省玉溪市华宁县青龙镇东北部（华宁大龙山）,103.086997,24.499422,success: detail_address
72,长田,昌宁长田风电场,43.75,云南省,保山市,昌宁县,温泉镇/漭水镇,长田风电场,https://www.163.com/dy/article/JQCC8D9J0512C38J.html,43.75MW,https://www.163.com/dy/article/JQCC8D9J0512C38J.html,高,地理编码成功,云南省保山市昌宁县温泉镇/漭水镇,99.698939,24.910842,success: province_city_district_detail
73,中寨,昌宁中寨风电场,37.5,云南省,保山市,昌宁县,温泉镇/田园镇,中寨风电场,https://finance.sina.com.cn/stock/aigc/tzxm/2026-04-08/doc-inhtuupu2724376.shtml,37.5MW,https://finance.sina.com.cn/stock/aigc/tzxm/2026-04-08/doc-inhtuupu2724376.shtml,高,地理编码成功,云南省保山市昌宁县温泉镇/田园镇,99.69773,24.69925,success: province_city_district_detail
74,富源西（含四期）,富源西风电场,800,云南省,曲靖市,富源县,中安街道/墨红镇,富源西风电场（国家电投）,https://www.sohu.com/a/674611212_121123698,800MW+四期147.4MW,https://www.sohu.com/a/674611212_121123698,高,地理编码成功,中安街道/墨红镇,104.25239,25.66635,success: detail_address
75,西泽,宣威西泽风电场,210,云南省,曲靖市,宣威市,务德镇/西泽乡/热水镇,宣威西泽风电场,https://www.sohu.com/a/749738719_121613636,210MW,https://www.sohu.com/a/749738719_121613636,高,地理编码成功,云南省曲靖市宣威市务德镇/西泽乡/热水镇,103.72044,26.26758,success: province_city_district_detail
76,巨龙梁,寻甸巨龙梁风电场,100,云南省,昆明市,寻甸县,金源乡/倘甸镇,巨龙梁风电场,https://zhuanlan.zhihu.com/p/599762000,100MW,https://zhuanlan.zhihu.com/p/599762000,高,地理编码成功,金源乡/倘甸镇,102.92251,25.77179,success: detail_address
77,高本山,寻甸高本山风电场,49.5,云南省,昆明市,寻甸县,云南省昆明市寻甸县高本山,高本山风电场（与巨龙梁共用升压站）,https://www.docin.com/p-2042858485.html,49.5MW,https://www.docin.com/p-2042858485.html,高,地理编码成功,云南省昆明市寻甸县高本山,103.406457,25.524794,success: detail_address
78,文兴,宣威文兴风电场,480,云南省,曲靖市,宣威市,云南省曲靖市宣威市东部及东北部一带山脊,文兴风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_71360370d4791452,480MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_71360370d4791452,高,地理编码成功,云南省曲靖市宣威市东部及东北部一带山脊,104.10586,26.22247,success: detail_address
79,金钟,会泽金钟风电场,470,云南省,曲靖市,会泽县,云南省曲靖市会泽县（老厂片区/金钟片区/大海片区）,金钟风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,470MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,高,地理编码成功,云南省曲靖市会泽县（老厂片区/金钟片区/大海片区）,103.139498,26.55687,success: detail_address
80,丹凤,曲靖丹凤风电场,300,云南省,曲靖市,麒麟区,"云南省曲靖市师宗县雄壁镇､竹基镇､漾月街道､葵山镇､彩云镇等五个乡镇境内,北纬24°40′~25°02′,东经103°42′~1",丹凤风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,300MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_3525fd4ce7c48952,高,地理编码成功,云南省曲靖市麒麟区曲靖丹凤风电场,103.82197,25.48278,success: province_city_district_name
81,平坝（含三期）,文山平坝风电场,200,云南省,文山州,文山市,平坝镇/新街乡等,平坝风电场,https://wenshan.yunnan.cn/system/2024/12/27/033349416.shtml,200MW,https://wenshan.yunnan.cn/system/2024/12/27/033349416.shtml,高,地理编码成功,云南省文山州文山市平坝镇/新街乡等,104.079304,23.222225,success: province_city_district_detail
82,舍得（赶马路）,丘北舍得风电场,49.5,云南省,文山州,丘北县,舍得乡,丘北舍得风电场（赶马路片区）,https://news.bjx.com.cn/html/20130917/460323.shtml,49.5MW,https://news.bjx.com.cn/html/20130917/460323.shtml,高,地理编码成功,舍得乡,103.86636,24.23799,success: detail_address
83,羊雄山,丘北羊雄山风电场,99,云南省,文山州,丘北县,舍得乡,羊雄山风电场,https://news.bjx.com.cn/html/20130917/460323.shtml,99MW,https://news.bjx.com.cn/html/20130917/460323.shtml,高,地理编码成功,舍得乡,103.86636,24.23799,success: detail_address
84,火特,华宁火特风电场,100,云南省,玉溪市,华宁县,通红甸乡,火特风电场,https://wind.in-en.com/html/wind-2434593.shtml,100MW,https://wind.in-en.com/html/wind-2434593.shtml,高,地理编码成功,通红甸乡,103.06899,24.33568,success: detail_address
85,起则,华宁起则风电场,100,云南省,玉溪市,华宁县,"玉溪市华宁县北部青龙镇｡场址地理坐标介于北纬2419′~2434′,东经10257'~1036'之间｡规划场区东西宽在4",起则风电场,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202205/t20220501_241636.html,100MW,https://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202205/t20220501_241636.html,高,地理编码成功,云南省玉溪市华宁县华宁起则风电场,102.92835,24.19199,success: province_city_district_name
86,阿用,富宁阿用风电场,100,云南省,文山州,富宁县,板仑乡,阿用风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_1316274a41231952,100MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_1316274a41231952,高,地理编码成功,板仑乡,105.69712,23.55894,success: detail_address
87,蜜蜂山,丘北蜜蜂山风电场,49.5,云南省,文山州,丘北县,腻脚乡,蜜蜂山风电场,https://www.zbytb.com/s-zb-52162596.html,49.5MW,https://www.zbytb.com/s-zb-52162596.html,高,地理编码成功,腻脚乡,103.84921,24.04244,success: detail_address
88,阿用,富宁阿用风电场,200,云南省,文山州,富宁县,归朝镇/板仑乡,富宁阿用风电场,https://finance.sina.com.cn/roll/2024-11-26/doc-incxkpaq4250971.shtml,200MW,https://finance.sina.com.cn/roll/2024-11-26/doc-incxkpaq4250971.shtml,高,地理编码成功,归朝镇/板仑乡,105.85231,23.65423,success: detail_address
89,菲古,文山菲古风电场,49.5,云南省,文山州,文山市,薄竹镇,菲古风电场,http://www.dlztb.com/news/202411/28/107597.html,49.5MW,http://www.dlztb.com/news/202411/28/107597.html,高,地理编码成功,薄竹镇,103.94309,23.48012,success: detail_address
90,麦子箐,马关麦子箐风电场,49.5,云南省,文山州,马关县,八寨镇,马关麦子箐风电场,http://www.dlztb.com/news/202411/28/107597.html,49.5MW,http://www.dlztb.com/news/202411/28/107597.html,高,地理编码成功,八寨镇,104.06253,23.00842,success: detail_address
91,金龙山,丘北金龙山风电场,49.5,云南省,文山州,丘北县,八道哨乡,金龙山风电场,http://www.dlztb.com/news/202411/28/107597.html,49.5MW,http://www.dlztb.com/news/202411/28/107597.html,高,地理编码成功,八道哨乡,104.08502,24.1002,success: detail_address
92,朵古,蒙自朵古风电场,49.5,云南省,红河州,蒙自市,西北勒乡,朵古风电场,http://news.bjx.com.cn/html/20200306/1051411.shtml,49.5MW,http://news.bjx.com.cn/html/20200306/1051411.shtml,高,地理编码成功,西北勒乡,103.4693,23.4837,success: detail_address
93,老寨,蒙自老寨风电场,49.5,云南省,红河州,蒙自市,云南省红河州蒙自市老寨乡北部、鸣鹫镇东部一带山脊,老寨风电场,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,49.5MW,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,高,地理编码成功,云南省红河州蒙自市老寨乡北部、鸣鹫镇东部一带山脊,103.692573,23.398029,success: detail_address
94,李子箐,泸西李子箐风电场,168,云南省,红河州,泸西县,云南省红河州泸西县周边山梁（李子箐/东山/东华/大坡顶各期工程）,李子箐风电场（含四期）,https://m.bjx.com.cn/mnews/20150122/584065.shtml,168MW,https://m.bjx.com.cn/mnews/20150122/584065.shtml,高,地理编码成功,云南省红河州泸西县周边山梁（李子箐/东山/东华/大坡顶各期工程）,103.810358,24.441752,success: detail_address
95,牦牛坪,宁蒗牦牛坪风电场,49.5,云南省,丽江市,宁蒗县,新营盘镇/烂泥箐镇,牦牛坪风电场,http://news.bjx.com.cn/html/20200306/1051411.shtml,49.5MW,http://news.bjx.com.cn/html/20200306/1051411.shtml,高,地理编码成功,新营盘镇/烂泥箐镇,100.97964,27.22362,success: detail_address
96,弥勒东（含扩建）,永宁风电场（弥勒片区）,23+230,云南省,红河州,弥勒市,东山镇,永宁风电场弥勒片区,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,23MW+扩建230MW,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,高,地理编码成功,云南省红河州弥勒市东山镇,103.6366,24.26199,success: province_city_district_detail
97,老路梁子,永善老路梁子风电场,66,云南省,昭通市,永善县,伍寨乡,老路梁子风电场,https://www.163.com/dy/article/I5ES42V30534BDCQ.html,66MW,https://www.163.com/dy/article/I5ES42V30534BDCQ.html,高,地理编码成功,伍寨乡,103.5243,27.60645,success: detail_address
98,盘江（含扩建）,沾益盘江风电场,180,云南省,曲靖市,沾益区,盘江镇/菱角乡,盘江风电场,https://finance.sina.com.cn/jjxw/2023-12-29/doc-imzzsiza3632713.shtml,180MW,https://finance.sina.com.cn/jjxw/2023-12-29/doc-imzzsiza3632713.shtml,高,地理编码成功,云南省曲靖市沾益区盘江镇/菱角乡,103.83382,25.75394,success: province_city_district_detail
99,白石头,待核实-疑为升压站名或山名,,云南省,,,"未找到（""白石头""为常见地名，无云南风电场以该名注册，可能是升压站或山名）",,未找到明确信息,中,待核实,,多次搜索未找到,白石头风电场 云南 建设地点;白石头 云南 升压站 风电;白石头 风电场 会泽 升压站,,,skipped: 确信度为空或待核实
100,小井山/小箐山,姚安小箐山风电场,46,云南省,楚雄州,姚安县,云南省楚雄州姚安县城东北面光禄镇、栋川镇小箐山山脊,小箐山风电场,https://www.fanpusoft.com/jianzhu/gcgl/416695.html,46MW,https://www.fanpusoft.com/jianzhu/gcgl/416695.html,高,地理编码成功,云南省楚雄州姚安县城东北面光禄镇、栋川镇小箐山山脊,101.23845,25.5016,success: detail_address
101,大赖石山（含五期）,巧家赖石山风电场,223.5,云南省,昭通市,巧家县,崇溪镇,赖石山风电场,https://www.163.com/dy/article/IUUVFALA0534BDCQ.html,223.5MW,https://www.163.com/dy/article/IUUVFALA0534BDCQ.html,高,地理编码成功,崇溪镇,103.13171,26.86119,success: detail_address
102,大岩洞,巧家大岩洞风电场,39,云南省,昭通市,巧家县,云南省昭通市巧家县崇溪镇北侧山区大岩洞山脊,大岩洞风电场,https://news.bjx.com.cn/html/20120903/384926.shtml,39MW,https://news.bjx.com.cn/html/20120903/384926.shtml,高,地理编码成功,云南省昭通市巧家县崇溪镇北侧山区大岩洞山脊,103.186748,26.87084,success: detail_address
103,三股水,巧家三股水风电场,49.5,云南省,昭通市,巧家县,云南省昭通市巧家县崇溪镇三股水附近山区,三股水风电场（与赖石山相关）,https://www.ztnews.net/article/show-335201.html,49.5MW,https://www.ztnews.net/article/show-335201.html,高,地理编码成功,云南省昭通市巧家县崇溪镇三股水附近山区,103.08249,26.805929,success: detail_address
104,马桑井,寻甸马桑井风电场,49.5+5,云南省,昆明市,寻甸县,云南省昆明市寻甸县甸沙乡苏撒坡村,马桑井风电场,http://yndrc.yn.gov.cn/html/2025/xiangmupifujieguo_0102/19257.html,49.5MW+扩建5MW,http://yndrc.yn.gov.cn/html/2025/xiangmupifujieguo_0102/19257.html,高,地理编码成功,云南省昆明市寻甸县甸沙乡苏撒坡村,103.143995,25.729554,success: detail_address
105,发白冲,石屏发白冲风电场,49.5,云南省,红河州,石屏县,云南省红河州石屏县哨冲镇、龙武镇、龙朋镇境内,发白冲风电场,https://news.bjx.com.cn/html/20220624/1236072.shtml,49.5MW,https://news.bjx.com.cn/html/20220624/1236072.shtml,高,地理编码成功,云南省红河州石屏县哨冲镇、龙武镇、龙朋镇境内,102.4015,24.00276,success: detail_address
106,罗平西（含二期）,罗平西风电场,165,云南省,曲靖市,罗平县,阿岗镇/马街镇,罗平西风电场一期,https://wind.in-en.com/html/wind-2435539.shtml,165MW,https://wind.in-en.com/html/wind-2435539.shtml,高,地理编码成功,云南省曲靖市罗平县阿岗镇/马街镇,104.10701,25.07657,success: province_city_district_detail
107,清水郎山,寻甸清水郎山风电场,49.5,云南省,昆明市,寻甸县,"昆明市寻甸回族彝族自治县,规划场址位于清水海水库西南方向,六哨､先锋和金所三个乡镇交界的山脊地带,地理坐标介于北纬25°30′31.25″~25°37",清水郎山风电场,https://news.bjx.com.cn/html/20220624/1236072.shtml,49.5MW,https://news.bjx.com.cn/html/20220624/1236072.shtml,高,地理编码成功,云南省昆明市寻甸县寻甸清水郎山风电场,102.92462,25.7706,success: province_city_district_name
108,大王岩,巧家大王岩风电场,70,云南省,昭通市,巧家县,云南省昭通市巧家县崇溪镇/新店镇大王岩一带山脊,大王岩风电场,https://news.bjx.com.cn/html/20220624/1236072.shtml,70MW,https://news.bjx.com.cn/html/20220624/1236072.shtml,高,地理编码成功,云南省昭通市巧家县崇溪镇/新店镇大王岩一带山脊,103.080831,26.933824,success: detail_address
109,大龙口,姚安大龙口风电场,145,云南省,楚雄州,姚安县,云南省楚雄州姚安县城东面山地（总装机145MW；一期梅家山49.5MW、二期尖山梁子49.5MW、三期小箐山46MW）,云南姚安大龙口风电场（三峡新能源）,https://www.sohu.com/a/148909839_778475,145MW,https://www.sohu.com/a/148909839_778475,高,地理编码成功,大龙口风电场 云南 建设地点,,,skipped: 确信度为空或待核实
110,大丫口（含二期）,华宁大丫口风电场,49.5+49.5,云南省,玉溪市,华宁县,云南省玉溪市华宁县宁州镇/通红甸乡/盘溪镇老象山脉大水井岩头山脊,大丫口风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,49.5MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_2176221f15018552,高,地理编码成功,云南省玉溪市华宁县宁州镇/通红甸乡/盘溪镇老象山脉大水井岩头山脊,103.048092,24.232165,success: detail_address
111,者坪山,洱源罗坪山风电场,210,云南省,大理州,洱源县,茈碧/凤羽/炼铁/乔后,罗坪山风电场,https://baike.baidu.com/item/洱源罗坪山风电场/2504513,210MW,https://baike.baidu.com/item/洱源罗坪山风电场/2504513,高,地理编码成功,云南省大理州洱源县茈碧/凤羽/炼铁/乔后,99.95817,26.11609,success: province_city_district_detail
112,杨家房（含野猫山）,祥云野猫山/杨家房风电场,49.5+36,云南省,大理州,祥云县,东山彝族乡,野猫山+杨家房风电场,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,49.5MW+36MW,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,高,地理编码成功,云南省大理州祥云县东山彝族乡,100.931605,25.682642,success: province_city_district_detail
113,白鹤厂,祥云白鹤厂风电场,50,云南省,大理州,祥云县,沙龙镇,白鹤厂风电场,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,50MW,https://www.dowater.com/zhaobiao/2023-03-15/3532090.asp,高,地理编码成功,沙龙镇,100.60707,25.46226,success: detail_address
114,阿岗（含二期）,罗平阿岗风电场,49.5+55,云南省,曲靖市,罗平县,阿岗镇/马街镇,阿岗风电场,http://news.bjx.com.cn/html/20150715/642151.shtml,49.5MW+55MW,http://news.bjx.com.cn/html/20150715/642151.shtml,高,地理编码成功,云南省曲靖市罗平县阿岗镇/马街镇,104.10701,25.07657,success: province_city_district_detail
115,罗平西（一期）,罗平西风电场一期(阿岗片区),215,云南省,曲靖市,罗平县/麒麟区,阿岗镇/马街镇,罗平西风电场一期,https://yndrc.yn.gov.cn/html/2021/xiangmupifujieguo_1002/8280.html,215MW,https://yndrc.yn.gov.cn/html/2021/xiangmupifujieguo_1002/8280.html,高,地理编码成功,云南省曲靖市罗平县/麒麟区阿岗镇/马街镇,104.10701,25.07657,success: province_city_district_detail
116,九龙山,罗平九龙山风电场,165,云南省,曲靖市,罗平县,九龙街道,罗平九龙山风电场（罗平西一期）,https://www.sohu.com/a/720535908_121124362,165MW,https://www.sohu.com/a/720535908_121124362,高,地理编码成功,云南省曲靖市罗平县九龙街道,104.293386,24.960327,success: province_city_district_detail
117,板桥（含清水海/海洋哨）,寻甸板桥风电场,99,云南省,昆明市,寻甸县,六哨/先锋/金所乡,板桥风电场（清水海+海洋哨）,https://so.html5.qq.com/page/real/search_news?docid=70000021_944610255c849052,99MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_944610255c849052,高,地理编码成功,六哨/先锋/金所乡,103.1963,25.55288,success: detail_address
118,白鹤厂（含扩建）,祥云白鹤厂风电场,49.5,云南省,大理州,祥云县,沙龙镇,白鹤厂风电场,https://news.bjx.com.cn/html/20151029/676254.shtml,49.5MW,https://news.bjx.com.cn/html/20151029/676254.shtml,高,地理编码成功,沙龙镇,100.60707,25.46226,success: detail_address
119,东华（含扩建）,泸西东华风电场,31.5,云南省,红河州,泸西县,中枢镇/旧城镇,东华风电场,https://news.bjx.com.cn/html/20120320/349004.shtml,31.5MW,https://news.bjx.com.cn/html/20120320/349004.shtml,高,地理编码成功,云南省红河州泸西县中枢镇/旧城镇,103.75154,24.55137,success: province_city_district_detail
120,东山,泸西东山风电场,40.5,云南省,红河州,泸西县,云南省红河州泸西县城东面东山上,东山风电场,https://www.bidcenter.com.cn/newscontent-7426778-1.html,40.5MW,https://www.bidcenter.com.cn/newscontent-7426778-1.html,高,地理编码成功,云南省红河州泸西县城东面东山上,103.66778,24.63023,success: detail_address
121,大坡顶,泸西大坡顶风电场,49.5,云南省,红河州,泸西县,云南省红河州泸西县东山（大坡顶）,大坡顶风电场（李子箐四期）,https://m.bjx.com.cn/mnews/20150122/584065.shtml,49.5MW,https://m.bjx.com.cn/mnews/20150122/584065.shtml,高,地理编码成功,云南省红河州泸西县东山（大坡顶）,103.810358,24.441752,success: detail_address
122,丰乐,洱源丰乐风电场,49.5,云南省,大理州,洱源县,云南省大理州洱源县（洱源县右所镇/邓川镇一带山脊，与骑龙山风电场相邻）,丰乐风电场（罗平山改造升级项目）,https://news.bjx.com.cn/html/20210331/1145011.shtml,49.5MW,https://news.bjx.com.cn/html/20210331/1145011.shtml,高,地理编码成功,云南省大理州洱源县（洱源县右所镇/邓川镇一带山脊，与骑龙山风电场相邻）,100.058306,25.992312,success: detail_address
123,石洞山（含五期）,弥勒石洞山风电场,240,云南省,红河州,弥勒市,巡检司镇/五山乡,石洞山风电场（含吉丹山/茨柯山/对门山/苗峨山）,http://news.bjx.com.cn/html/20140701/523239.shtml,240MW（含五期）,http://news.bjx.com.cn/html/20140701/523239.shtml,高,地理编码成功,巡检司镇/五山乡,103.1836,23.96252,success: detail_address
124,吉丹山,弥勒吉丹山风电场,48,云南省,红河州,弥勒市,五山乡,吉丹山风电场（石洞山二期）,https://www.bidcenter.com.cn/newscontent-20576276-1.html,48MW,https://www.bidcenter.com.cn/newscontent-20576276-1.html,高,地理编码成功,云南省红河州弥勒市五山乡,103.20948,24.17353,success: province_city_district_detail
125,对门山,弥勒对门山风电场,48,云南省,红河州,弥勒市,五山乡,对门山风电场（石洞山三期）,http://news.bjx.com.cn/html/20140701/523239.shtml,48MW,http://news.bjx.com.cn/html/20140701/523239.shtml,高,地理编码成功,云南省红河州弥勒市五山乡,103.20948,24.17353,success: province_city_district_detail
126,漕涧梁子,云龙漕涧梁子风电场,99,云南省,大理州,云龙县,漕涧镇,漕涧梁子风电场,https://news.bjx.com.cn/html/20140606/516498.shtml,99MW,https://news.bjx.com.cn/html/20140606/516498.shtml,高,地理编码成功,漕涧镇,99.12848,25.6613,success: detail_address
127,支锅山,石林支锅山风电场,49.5,云南省,昆明市,石林县,西街口镇,支锅山风电场,https://news.bjx.com.cn/html/20120627/369318.shtml,49.5MW,https://news.bjx.com.cn/html/20120627/369318.shtml,高,地理编码成功,西街口镇,103.51188,24.82483,success: detail_address
128,茨柯山,弥勒茨柯山风电场,48,云南省,红河州,弥勒市,五山乡,茨柯山风电场（石洞山二期）,https://m.bjx.com.cn/mnews/20160122/703728.shtml,48MW,https://m.bjx.com.cn/mnews/20160122/703728.shtml,高,地理编码成功,云南省红河州弥勒市五山乡,103.20948,24.17353,success: province_city_district_detail
129,苗峨山,弥勒苗峨山风电场,,云南省,红河州,弥勒市,"云南省红河州弥勒市,总装机容量550兆瓦,布置88台风机｡其中6.7兆瓦风机66台,是我国山地风电单机容量之最,轮毂高度110-120米,相当于40层楼",苗峨山风电场（石洞山五期）,,,中,待核实,跳过,,,,skipped: 确信度为空或待核实
130,丹凤,师宗丹凤风电场,300,云南省,曲靖市,师宗县,"云南省曲靖市师宗县雄壁镇､竹基镇､漾月街道､葵山镇､彩云镇等五个乡镇境内,北纬24°40′~25°02′,东经103°42′~1",丹凤风电场,http://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220308_238103.html,300MW,http://www.yn.gov.cn/ztgg/zxylcyfzqy/zdxmjsp/sgybxmpf/202203/t20220308_238103.html,高,地理编码成功,云南省曲靖市师宗县师宗丹凤风电场,103.98747,24.8252,success: province_city_district_name
131,长岭坡,待核实-疑似数据错误,,云南省,,,"未找到（""长岭坡""搜索结果均为吉林长岭县项目，无云南相关风电场）",未找到云南相关风电场，搜索结果为吉林长岭县项目,未找到明确信息,中,待核实,,多次搜索未找到,长岭坡风电场 云南 建设地点;长岭坡 云南 曲靖 风电,,,skipped: 确信度为空或待核实
132,糯扎渡,待核实,,云南省,,,糯扎渡是水电站项目，非风电场,糯扎渡为水电站（585万千瓦），非风电场，位于普洱市思茅区和澜沧县交界处,未找到明确信息,中,待核实,高,确认非风电场,糯扎渡风电场 云南普洱 建设地点,,,skipped: 确信度为空或待核实
133,天峰山,祥云天峰山风电场,199.25,云南省,大理州,祥云县,东山乡/下庄镇/普淜镇,天峰山风电场,https://news.bjx.com.cn/topics/tianfengshanfengdianchang/,199.25MW,https://news.bjx.com.cn/topics/tianfengshanfengdianchang/,高,地理编码成功,云南省大理州祥云县东山乡/下庄镇/普淜镇,100.78685,25.4318,success: province_city_district_detail
134,太平,大理太平风电场,31.5,云南省,大理州,漾濞县,云南省大理州大理市凤仪镇太平村附近,太平风电场,https://news.bjx.com.cn/topics/taipingfengdianchang/,31.5MW,https://news.bjx.com.cn/topics/taipingfengdianchang/,高,地理编码成功,云南省大理州漾濞县云南省大理州大理市凤仪镇太平村附近,99.855021,25.608739,success: province_city_district_detail
135,富源北光梁子,富源光梁子风电场,166.4,云南省,曲靖市,富源县,后所镇,富源光梁子风电场,http://newenergy.in-en.com/html/newenergy-2286867.shtml,48MW+118.4MW,http://newenergy.in-en.com/html/newenergy-2286867.shtml,高,地理编码成功,后所镇,104.29482,25.80299,success: detail_address
