序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
136,对门梁子,马龙对门梁子风电场,90,云南省,曲靖市,马龙区,旧县镇/通泉镇,马龙对门梁子风电场,https://m.bjx.com.cn/mnews/20150421/610472.shtml,90MW,https://m.bjx.com.cn/mnews/20150421/610472.shtml,高,地理编码成功,云南省曲靖市马龙区旧县镇/通泉镇,103.409628,25.383253,success: province_city_district_detail
137,将军山（含大丫口）,华宁大丫口-将军山风电场,88,云南省,玉溪市,华宁县,"玉溪市峨山县,是一座保存完好的古代水上城镇,拥有古老的街巷、建筑和文化遗址,具有浓郁的历史和人文氛围",华宁大丫口将军山风电场,http://sdgw.powerchina.cn/col13033/art/2022/art_13033_1486598.html,88MW,http://sdgw.powerchina.cn/col13033/art/2022/art_13033_1486598.html,高,地理编码成功,云南省玉溪市华宁县华宁大丫口-将军山风电场,102.93953,24.19394,success: province_city_district_name
138,小白岩,寻甸小白岩风电场,75,云南省,昆明市,寻甸县,昆明市倘甸产业园区和昆明轿子山旅游开发区 验收调查单位: 云南省环境工程评估中心 建设内容: 昆明市倘甸小白龙风电场项目,寻甸小白岩风电场,http://www.qianlima.com/gjxx/69418/index_29_0.html,75MW,http://www.qianlima.com/gjxx/69418/index_29_0.html,中,地理编码成功,云南省昆明市寻甸县寻甸小白岩风电场,103.46664,25.71536,success: province_city_district_name
139,巨龙梁,寻甸巨龙梁风电场,100,云南省,昆明市,寻甸县,金源乡/倘甸镇,寻甸巨龙梁风电场,https://zhuanlan.zhihu.com/p/599762000,100MW,https://zhuanlan.zhihu.com/p/599762000,高,地理编码成功,金源乡/倘甸镇,102.92251,25.77179,success: detail_address
140,巨龙山,宾川巨龙山风电场,49.5,云南省,大理州,宾川县,宾居镇/大营镇,宾川巨龙山风电场,https://news.bjx.com.cn/html/20141016/554969.shtml,49.5MW,https://news.bjx.com.cn/html/20141016/554969.shtml,高,地理编码成功,宾居镇/大营镇,100.461714,25.787727,success: detail_address
141,通泉（含扩建）,马龙通泉风电场,350,云南省,曲靖市,马龙区,云南省曲靖市马龙区月望乡/纳章镇与麒麟区、陆良县交界山脊,通泉风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,350MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_05260d6a68948152,高,地理编码成功,云南省曲靖市马龙区云南省曲靖市马龙区月望乡/纳章镇与麒麟区、陆良县交界山脊,103.647077,25.369555,success: province_city_district_detail
142,马鞍山（含五期）,洱源马鞍山风电场,228,云南省,大理州,洱源县,"云南省大理州洱源县马鞍山风电场,是国内海拔最高的风电场之一,风场规划了马鞍山､黄草坡和观音山､干海子､大龙潭五个风电场,高程在2600m~3300m之间",马鞍山风电场（含马鞍山+黄草坡+观音山+大龙潭+干海子五期）,http://archiverm.yingjiesheng.com/job-000-989-496.html,228MW,http://archiverm.yingjiesheng.com/job-000-989-496.html,高,地理编码失败,"云南省大理州洱源县马鞍山风电场,是国内海拔最高的风电场之一,风场规划了马鞍山､黄草坡和观音山､干海子､大龙潭五个风电场,高程在2600m~3300m之间",,,failed: name_only: 行政区不匹配
143,朵古,蒙自朵古风电场,49.5,云南省,红河州,蒙自市,西北勒乡,蒙自朵古风电场,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,49.5MW,http://yn.people.com.cn/n2/2021/0827/c372456-34887424.html,高,地理编码成功,西北勒乡,103.4693,23.4837,success: detail_address
144,会泽金钟（一期）,会泽金钟风电场,300,云南省,曲靖市,会泽县,金钟镇/五星乡/大海乡,会泽金钟风电场一期,https://news.bjx.com.cn/html/20220210/1203410.shtml,300MW,https://news.bjx.com.cn/html/20220210/1203410.shtml,高,地理编码成功,云南省曲靖市会泽县金钟镇/五星乡/大海乡,103.260145,26.55154,success: province_city_district_detail
145,会泽金钟（二期）,会泽金钟风电场二期,50.4,云南省,曲靖市,会泽县,"云南省东北部东经103°03′~103°55′,北纬25°48′~27°04′之间的乌蒙山主峰地段,距昆明市区190公里,曲靖市区180公里｡地处会泽县城",金钟风电场二期,https://wind.imarine.cn/news/100727.html,50.4MW,https://wind.imarine.cn/news/100727.html,高,地理编码成功,云南省曲靖市会泽县会泽金钟风电场二期,103.31031,26.41785,success: province_city_district_name
146,弥勒东风电场,永宁风电项目南片区,（永宁750MW项目一部分）,云南省,红河州,弥勒市,云南省红河州泸西县南部、弥勒市交界山脊,弥勒东风电场（永宁项目南片区）,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,（永宁项目南片区）,https://m.bjx.com.cn/mnews/20230915/1332127.shtml,高,地理编码成功,云南省红河州泸西县南部、弥勒市交界山脊,103.39882,24.30962,success: detail_address
147,舍得,丘北羊雄山风电场,99,云南省,文山州,丘北县,舍得乡,丘北羊雄山风电场（舍得片区）,https://news.bjx.com.cn/html/20130917/460323.shtml,99MW,https://news.bjx.com.cn/html/20130917/460323.shtml,高,地理编码成功,舍得乡,103.86636,24.23799,success: detail_address
148,文兴,宣威文兴风电场,377.25,云南省,曲靖市,宣威市,文兴乡/双河乡/乐丰乡,宣威文兴风电场,https://m.bjx.com.cn/mnews/20210508/1151462.shtml,377.25MW,https://m.bjx.com.cn/mnews/20210508/1151462.shtml,高,地理编码成功,文兴乡/双河乡/乐丰乡,104.38794,26.49365,success: detail_address
149,西泽,宣威西泽风电场,210,云南省,曲靖市,宣威市,务德镇/西泽乡/热水镇,宣威西泽风电场,https://www.sohu.com/a/749738719_121613636,210MW,https://www.sohu.com/a/749738719_121613636,高,地理编码成功,云南省曲靖市宣威市务德镇/西泽乡/热水镇,103.72044,26.26758,success: province_city_district_detail
150,马塘,陆良马塘风电场,49.5,云南省,曲靖市,陆良县,龙海乡,陆良马塘风电场,https://news.bjx.com.cn/html/20120629/369881.shtml,49.5MW,https://news.bjx.com.cn/html/20120629/369881.shtml,高,地理编码成功,龙海乡,103.83386,24.950567,success: detail_address
151,龙潭（洱源大龙潭）,洱源大龙潭风电场,49.5,云南省,大理州,洱源县,右所镇/邓川镇,洱源大龙潭风电场（马鞍山南片区）,https://sthjt.yn.gov.cn/xxywzsdt/201111/t20111101_32648.html,49.5MW,https://sthjt.yn.gov.cn/xxywzsdt/201111/t20111101_32648.html,高,地理编码成功,右所镇/邓川镇,100.08723,26.00209,success: detail_address
152,龙潭（陆良龙潭）,陆良龙潭风电场,49.5,云南省,曲靖市,陆良县,云南省曲靖市陆良县境内,陆良龙潭风电场,https://news.zcwz.com/56044.html,49.5MW,https://news.zcwz.com/56044.html,高,地理编码成功,云南省曲靖市陆良县境内,103.719704,24.903682,success: detail_address
153,黄草坡,洱源黄草坡风电场,49.5,云南省,大理州,洱源县,"云南省大理州洱源县,属马鞍山山脉南缘｡地理坐标介于北纬26°04′~N26°10′,东经100°05′~100°08′之间,高程在2",洱源黄草坡风电场（马鞍山二期）,http://www.qinghuan.com/buy/show.php?itemid=21504,49.5MW,http://www.qinghuan.com/buy/show.php?itemid=21504,高,地理编码成功,云南省大理州洱源县洱源黄草坡风电场,100.086115,26.208683,success: province_city_district_name
154,德宏芒市平河风电场,芒市平河风电场,200,云南省,德宏州,芒市,平河乡,芒市平河风电场,https://new.qq.com/rain/a/20251201A05VGH00,200MW,https://new.qq.com/rain/a/20251201A05VGH00,高,地理编码成功,云南省德宏州芒市平河乡,98.58222,24.45293,success: province_city_district_detail
155,昌宁长田风电场,昌宁长田风电场,43.75,云南省,保山市,昌宁县,"保山市昌宁县更戛乡大沙坝村,场址海拔在734米至1452米之间,属于云南省光伏较佳开发区｡规划容量15万千瓦,工程总投资",昌宁长田风电场,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,43.75MW,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,高,地理编码成功,云南省保山市昌宁县昌宁长田风电场,99.61237,24.82805,success: province_city_district_name
156,华宁大龙山风电场,华宁大龙山风电场,56.25,云南省,玉溪市,华宁县,"云南省玉溪市华宁县青龙镇,建造商是云南华宁新九龙投资有限公司基本内容位于南盘江干流中段河流,地处云南省玉溪市华宁县青龙镇",华宁大龙山风电场,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,56.25MW,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,高,地理编码成功,云南省玉溪市华宁县华宁大龙山风电场,102.93953,24.19394,success: province_city_district_name
157,昌宁中寨风电场,昌宁中寨风电场,37.5,云南省,保山市,昌宁县,云南省保山市海口市海南师范大学龙昆南校区 3、建设内容:1.原地清表及部分树木移植;2.基础土石方机械开挖及外运;3.钢筋混凝土基础,昌宁中寨风电场,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,37.5MW,https://finance.sina.com.cn/roll/2026-04-09/doc-inhtwxnu1978214.shtml,高,地理编码成功,云南省保山市昌宁县昌宁中寨风电场,99.60917,24.82425,success: province_city_district_name
158,弥勒西风电场扩建,弥勒西风电场扩建项目,300,云南省,红河州,弥勒市,"云南省红河州弥勒市,总装机容量550兆瓦,布置88台风机｡其中6.7兆瓦风机66台,是我国山地风电单机容量之最,轮毂高度110-120米,相当于40层楼",弥勒西风电场扩建,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,300MW,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,高,地理编码成功,云南省红河州弥勒市弥勒西风电场扩建项目,103.26654,24.46412,success: province_city_district_name
159,开远大黑山风电场扩建,开远大黑山风电场扩建项目,300,云南省,红河州,开远市,"红河州开远市,总装机容量19.5万千瓦,主要建设32台风电机组｡项目总投资104218.77万元,项目单位为云南华电大黑山风力发电有限公司｡",开远大黑山风电场扩建,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,300MW,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,高,地理编码成功,云南省红河州开远市开远大黑山风电场扩建项目,103.255584,23.716465,success: province_city_district_name
160,开远仙人洞坡风电场扩建,开远仙人洞坡风电场扩建项目,335,云南省,红河州,开远市,"位于红河哈尼族彝族自治州开远市｡ 项目总装机容量19.5万千瓦,主要建设36台风电机组｡ 项目总投资87414.4万元｡",开远仙人洞坡风电场扩建,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,335MW,https://m.bjx.com.cn/mnews/20250307/1430832.shtml,高,地理编码成功,云南省红河州开远市开远仙人洞坡风电场扩建项目,103.2725,23.71539,success: province_city_district_name
161,元江羊岔街风电场二期,元江羊岔街风电场扩建项目,50,云南省,玉溪市,元江县,"云南省玉溪市通海县杨广镇; (3)建设性质:新建; (4)建设内容及规模:占地面积39.99hm2,规划容量为62.5MW,工程推荐",元江羊岔街风电场扩建二期,https://new.qq.com/rain/a/20260210A0779Q00,50MW,https://new.qq.com/rain/a/20260210A0779Q00,高,地理编码成功,云南省玉溪市元江县元江羊岔街风电场扩建项目,101.7674,23.66741,success: province_city_district_name
162,宣威西泽风电场二期,宣威西泽风电场扩建项目,50,云南省,曲靖市,宣威市,"曲靖市宣威市务德镇和热水镇附近高山山脊上,受生态红线､国家公益林等限制性开放因素影响,西泽风电场主要开放利用区域分为A､",宣威西泽风电场扩建二期,https://new.qq.com/rain/a/20260210A0779Q00,50MW,https://new.qq.com/rain/a/20260210A0779Q00,高,地理编码成功,云南省曲靖市宣威市宣威西泽风电场扩建项目,103.804369,26.220406,success: province_city_district_name
163,大姚老尖山风电场扩建,大姚老尖山风电场扩建项目,75,云南省,楚雄州,大姚县,"云南省楚雄彝族自治州大姚县,场址位于老尖山风电场东侧,总工期为 12个月｡在建设项目装机的同时,将新建一条110千伏送出",大姚老尖山风电场扩建,https://news.bjx.com.cn/html/20241127/1413239.shtml,75MW,https://news.bjx.com.cn/html/20241127/1413239.shtml,高,地理编码成功,云南省楚雄州大姚县大姚老尖山风电场扩建项目,101.32137,25.7418,success: province_city_district_name
164,个旧猴子山风电场扩建,个旧猴子山风电场扩建项目,50,云南省,红河州,个旧市,云南省红河州个旧市老厂镇北部高山坡地上（一期：老厂镇和卡房镇之间山脊）,个旧猴子山风电场扩建,https://news.bjx.com.cn/html/20250106/1421073.shtml,50MW,https://news.bjx.com.cn/html/20250106/1421073.shtml,高,地理编码成功,云南省红河州个旧市老厂镇北部高山坡地上（一期：老厂镇和卡房镇之间山脊）,103.240138,23.285438,success: detail_address
165,富源南冲风电场,富源南冲风电场项目,62.5,云南省,曲靖市,富源县,云南省曲靖市富源县东部与贵州交界附近山脊,富源南冲风电场,https://www.cpnn.com.cn/news/dfny/202602/t20260211_1866813.html,62.5MW,https://www.cpnn.com.cn/news/dfny/202602/t20260211_1866813.html,高,地理编码成功,云南省曲靖市富源县东部与贵州交界附近山脊,104.24993,25.67419,success: detail_address
166,洱源罗平山风电场改造升级,洱源罗平山风电场改造升级项目,144,云南省,大理州,洱源县,云南省大理州洱源县右所镇罗坪山,洱源罗平山风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,144MW,https://new.qq.com/rain/a/20260108A01FGW00,高,地理编码成功,云南省大理州洱源县右所镇罗坪山,100.06,26.02635,success: detail_address
167,洱源骑龙山风电场改造升级,洱源骑龙山风电场改造升级项目,144.75,云南省,大理州,洱源县,云南省大理州洱源县凤羽镇/乔后镇骑龙山,洱源骑龙山风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,144.75MW,https://new.qq.com/rain/a/20260108A01FGW00,高,地理编码成功,云南省大理州洱源县凤羽镇/乔后镇骑龙山,99.811353,26.078679,success: detail_address
168,洱源丰乐风电场改造升级,洱源丰乐风电场改造升级项目,100,云南省,大理州,洱源县,云南省大理州洱源县（罗坪山区域）,洱源丰乐风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,地理编码成功,云南省大理州洱源县（罗坪山区域）,99.839409,26.070877,success: detail_address
169,永胜阿谷子风电场改造升级,永胜阿谷子风电场改造升级项目,100,云南省,丽江市,永胜县,云南省丽江市永胜县东南部阿谷子,永胜阿谷子风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,地理编码成功,云南省丽江市永胜县东南部阿谷子,100.451397,27.013837,success: detail_address
170,华坪西风电场改造升级,华坪西风电场改造升级项目,100,云南省,丽江市,华坪县,云南省丽江市华坪县,华坪西风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,地理编码成功,云南省丽江市华坪县,101.26447,26.63264,success: detail_address
171,富源北风电场三期,富源北风电场三期项目,100,云南省,曲靖市,富源县,云南省曲靖市富源县,富源北风电场三期,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,地理编码成功,云南省曲靖市富源县,104.25253,25.67787,success: detail_address
172,昆明西山区孝母山风电场改造,昆明孝母山风电场改造升级项目,100,云南省,昆明市,西山区,云南省昆明市西山区团结街道孝母山,昆明孝母山风电场改造升级,https://new.qq.com/rain/a/20260108A01FGW00,100MW,https://new.qq.com/rain/a/20260108A01FGW00,高,地理编码成功,云南省昆明市西山区团结街道孝母山,102.457069,25.113111,success: detail_address
173,南华官庄风电场,南华官庄风电场项目,50,云南省,楚雄州,南华县,云南省楚雄州南华县,南华官庄风电场,https://www.toutiao.com/article/7615459564569297460/,50MW,https://www.toutiao.com/article/7615459564569297460/,高,地理编码成功,云南省楚雄州南华县,101.286123,25.20878,success: detail_address
174,大姚叭腊么风电场,大姚叭腊么风电场项目,50,云南省,楚雄州,大姚县,云南省楚雄州大姚县,大姚叭腊么风电场,https://www.toutiao.com/article/7615459564569297460/,50MW,https://www.toutiao.com/article/7615459564569297460/,高,地理编码成功,云南省楚雄州大姚县,101.322344,25.716597,success: detail_address
175,宁蒗湾钩梁子风电场,宁蒗湾钩梁子风电场项目,50,云南省,丽江市,宁蒗县,云南省丽江市宁蒗县,宁蒗湾钩梁子风电场,https://www.toutiao.com/article/7615459564569297460/,50MW,https://www.toutiao.com/article/7615459564569297460/,高,地理编码成功,云南省丽江市宁蒗县,100.85077,27.28551,success: detail_address
176,红河白石岩风电场一期,红河白石岩风电场一期,70,云南省,红河州,,云南省红河州,红河白石岩风电场一期,https://www.sohu.com/a/1009604074_121956424,70MW,https://www.sohu.com/a/1009604074_121956424,高,地理编码成功,云南省红河州,102.8278,23.63752,success: detail_address
177,红河白石岩风电场二区,红河白石岩风电场二区,55,云南省,红河州,,云南省红河州,红河白石岩风电场二区,https://www.sohu.com/a/1009604074_121956424,55MW,https://www.sohu.com/a/1009604074_121956424,高,地理编码成功,云南省红河州,102.8278,23.63752,success: detail_address
178,富源西四期风电场,富源西四期风电场项目,140.7,云南省,曲靖市,富源县,云南省曲靖市富源县,富源西四期风电场,https://news.bjx.com.cn/topics/yunnan/,140.7MW,https://news.bjx.com.cn/topics/yunnan/,高,地理编码成功,云南省曲靖市富源县,104.25253,25.67787,success: detail_address
179,永宁风电场四期,永宁风电场四期项目,50,云南省,红河州,弥勒市,云南省红河州泸西县中部及南部区域山脊,永宁风电场四期,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,高,地理编码成功,云南省红河州弥勒市永宁风电场四期项目,103.42231,24.413,success: province_city_district_name
180,文笔山风电场二期,文笔山风电场扩建二期项目,50,云南省,红河州,,云南省红河州,文笔山风电场二期,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,高,地理编码成功,云南省红河州,102.8278,23.63752,success: detail_address
181,三棵山风电场,三棵山风电场项目,50,云南省,,,三棵山风电场,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,中,待核实,跳过,,,,skipped: 确信度为空或待核实
182,山冲风电场,山冲风电场项目,50,云南省,,,山冲风电场,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,中,待核实,跳过,,,,skipped: 确信度为空或待核实
183,永宁风电场,永宁风电场项目,750,云南省,红河州,泸西县/弥勒市,云南省红河州泸西县中部及南部、弥勒市东部（8个乡镇山脊）,永宁风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,750MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,高,地理编码成功,云南省红河州泸西县中部及南部、弥勒市东部（8个乡镇山脊）,103.769438,24.482629,success: detail_address
184,砚山天马山风电场二期,砚山天马山风电场二期,50,云南省,文山州,砚山县,云南省文山州砚山县,砚山天马山风电场二期,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_00761fb59bc35952,高,地理编码成功,云南省文山州砚山县,104.334632,23.621525,success: detail_address
185,开远剑角峰风电场扩建,开远剑角峰风电场扩建项目,50,云南省,红河州,开远市,云南省红河州开远市东部中和营镇、乐白道街道一带山脊,开远剑角峰风电场扩建,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,地理编码成功,云南省红河州开远市东部中和营镇、乐白道街道一带山脊,103.2725,23.71539,success: detail_address
186,宁蒗火木梁风电场扩建,宁蒗火木梁风电场扩建项目,50,云南省,丽江市,宁蒗县,云南省丽江市宁蒗县,宁蒗火木梁风电场扩建,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,地理编码成功,云南省丽江市宁蒗县,100.85077,27.28551,success: detail_address
187,寻甸马桑井风电场扩建,寻甸马桑井风电场扩建项目,50,云南省,曲靖市,寻甸县,云南省昆明市寻甸县甸沙乡苏撒坡村,寻甸马桑井风电场扩建,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,地理编码失败,云南省昆明市寻甸县甸沙乡苏撒坡村,,,failed: name_only: 行政区不匹配
188,新平联兴风电场三期,新平联兴风电场三期项目,50,云南省,玉溪市,新平县,云南省玉溪市新平县,新平联兴风电场三期,https://www.sohu.com/a/846264514_122135425,50MW,https://www.sohu.com/a/846264514_122135425,高,地理编码成功,云南省玉溪市新平县,101.989473,24.073361,success: detail_address
189,果东风电场,果东风电场项目,50,云南省,楚雄州,,云南省楚雄州,果东风电场,https://new.qq.com/rain/a/20251226A02VGR00,50MW,https://new.qq.com/rain/a/20251226A02VGR00,高,地理编码成功,云南省楚雄州,101.55041,25.30894,success: detail_address
190,万溪冲风电场,万溪冲风电场项目,50,云南省,昆明市,,云南省昆明市呈贡区万溪冲,万溪冲风电场,https://new.qq.com/rain/a/20251226A02VGR00,50MW,https://new.qq.com/rain/a/20251226A02VGR00,高,地理编码成功,云南省昆明市呈贡区万溪冲,102.874884,24.824902,success: detail_address
191,云甸零碳园区风电场一期,云甸零碳园区风电场一期项目,50,云南省,楚雄州,楚雄市,云南省楚雄州,云甸零碳园区风电场一期,https://new.qq.com/rain/a/20251226A02VGR00,50MW,https://new.qq.com/rain/a/20251226A02VGR00,高,地理编码成功,云南省楚雄州楚雄市云南省楚雄州,101.57717,24.9882,success: province_city_district_detail
192,富源西五期风电场,富源西风电场五期项目,160.8,云南省,曲靖市,富源县,云南省曲靖市富源县,富源西风电场五期,https://www.sohu.com/a/817496015_121106902,160.8MW,https://www.sohu.com/a/817496015_121106902,高,地理编码成功,云南省曲靖市富源县,104.25253,25.67787,success: detail_address
193,永宁风电场泸西片区,永宁风电场泸西片区扩建项目,50,云南省,红河州,泸西县,云南省红河州泸西县（午街铺镇/中枢镇/永宁乡/向阳乡/白水镇）,永宁风电场泸西片区,https://so.html5.qq.com/page/real/search_news?docid=70000021_88365802efa30452,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_88365802efa30452,高,地理编码成功,云南省红河州泸西县（午街铺镇/中枢镇/永宁乡/向阳乡/白水镇）,103.75154,24.55137,success: detail_address
194,通泉北风电场,通泉北风电场项目,50,云南省,曲靖市,马龙区,云南省曲靖市马龙区,通泉北风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_418659e776391552,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_418659e776391552,中,地理编码成功,云南省曲靖市马龙区,103.57665,25.43113,success: detail_address
195,广南新华风电场,广南新华风电场项目,50,云南省,文山州,广南县,云南省文山州广南县,广南新华风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,高,地理编码成功,云南省文山州广南县,105.051026,24.052788,success: detail_address
196,富宁那来风电场扩建,富宁那来风电场扩建项目,50,云南省,文山州,富宁县,云南省文山州富宁县,富宁那来风电场扩建,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_096699f976873152,高,地理编码成功,云南省文山州富宁县,105.62069,23.6287,success: detail_address
197,祥云西山风电场,祥云西山风电场项目,50,云南省,大理州,祥云县,云南省大理州祥云县,祥云西山风电场,https://so.html5.qq.com/page/real/search_news?docid=70000021_067694fb90782252,50MW,https://so.html5.qq.com/page/real/search_news?docid=70000021_067694fb90782252,高,地理编码成功,云南省大理州祥云县,100.55264,25.47692,success: detail_address
198,新桥风电场,新桥风电场项目,50,云南省,,,新桥风电场,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,中,待核实,跳过,,,,skipped: 确信度为空或待核实
199,会泽金钟风电场二期,会泽金钟风电场二期项目,50.4,云南省,曲靖市,会泽县,云南省曲靖市会泽县金钟镇山脊,会泽金钟风电场二期,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,50.4MW,https://www.163.com/dy/article/JK6JIBA30552R0Y2.html,高,地理编码成功,云南省曲靖市会泽县金钟镇山脊,103.30545,26.41493,success: detail_address
